customer_id,age,monthly_income,region
1,55,6332,R027
2,31,10943,R018
3,54,2164,R027
4,54,8989,R014
5,23,11884,R008
6,35,3956,R019
7,39,5860,R020
8,35,4775,R016
9,19,13481,R016
10,49,3768,R008
11,34,12615,R010
12,18,8226,R022
13,26,14718,R016
14,30,13888,R003
15,53,8621,R006
16,54,2782,R016
17,47,13970,R027
18,48,9820,R016
19,40,11146,R003
20,45,12184,R017
21,27,11851,R022
22,42,2140,R020
23,53,2719,R010
24,43,3650,R022
25,43,9885,R020
26,62,5573,R008
27,30,13666,R007
28,34,3015,R019
29,57,6383,R020
30,21,10534,R027
31,40,8292,R017
32,52,8353,R023
33,28,13375,R003
34,29,12893,R027
35,26,11167,R020
36,32,12775,R020
37,62,5120,R007
38,54,3823,R003
39,22,6426,R022
40,36,14652,R003
41,28,2010,R005
42,26,6604,R008
43,52,12819,R003
44,44,11660,R020
45,30,11305,R017
46,29,10813,R009
47,26,2900,R018
48,59,5747,R024
49,45,14256,R027
50,30,3471,R019
51,37,8861,R019
52,30,5103,R009
53,44,10518,R019
54,43,2073,R022
55,46,2250,R019
56,46,4497,R012
57,39,12594,R020
58,26,6628,R027
59,41,10487,R027
60,59,2297,R023
61,36,10493,R010
62,55,14799,R008
63,48,10776,R024
64,56,8517,R008
65,32,13816,R020
66,49,3634,R018
67,63,7005,R018
68,63,8029,R018
69,46,10244,R027
70,51,7615,R003
71,26,12468,R023
72,52,12879,R024
73,23,4844,R027
74,54,7623,R018
75,31,6590,R019
76,64,6948,R027
77,26,12910,R018
78,36,14127,R019
79,40,7190,R014
80,58,9884,R003
81,45,8332,R018
82,33,2662,R020
83,43,10199,R022
84,55,8475,R001
85,57,13875,R023
86,42,5087,R019
87,52,6761,R019
88,22,2668,R027
89,24,13356,R011
90,40,11477,R023
91,42,5620,R019
92,18,2160,R022
93,39,12590,R017
94,21,13437,R010
95,45,8460,R019
96,31,2017,R016
97,50,4533,R008
98,21,8510,R024
99,59,6446,R018
100,28,12767,R024
101,56,7554,R018
102,49,12509,R019
103,21,4918,R030
104,18,11245,R027
105,43,2315,R009
106,50,6832,R027
107,34,4211,R016
108,44,9069,R003
109,59,10511,R019
110,22,7133,R028
111,24,8422,R028
112,42,6527,R005
113,25,4715,R023
114,51,10825,R023
115,58,11897,R016
116,21,8665,R020
117,29,9107,R019
118,48,7132,R008
119,28,10864,R023
120,54,12471,R009
121,61,13739,R015
122,53,10662,R008
123,62,13423,R022
124,39,8782,R018
125,18,4607,R018
126,21,5332,R020
127,53,12812,R007
128,25,6697,R027
129,42,11574,R018
130,45,8745,R016
131,55,7634,R005
132,53,14567,R008
133,53,8260,R027
134,60,3185,R018
135,58,8995,R022
136,63,12102,R003
137,21,8109,R020
138,30,8441,R027
139,55,2915,R012
140,62,9464,R020
141,42,3617,R027
142,20,11875,R022
143,49,4425,R003
144,56,2425,R016
145,18,3787,R003
146,28,4584,R027
147,19,6648,R020
148,22,2168,R027
149,39,2514,R002
150,63,5435,R018
151,30,6525,R003
152,40,4616,R016
153,64,12569,R007
154,48,10882,R014
155,52,5204,R024
156,55,9765,R007
157,58,12696,R018
158,52,10544,R027
159,62,3117,R030
160,30,3405,R009
161,24,14131,R027
162,22,7414,R009
163,46,8341,R017
164,25,6174,R027
165,25,2677,R023
166,24,10742,R026
167,36,11011,R023
168,56,2213,R008
169,40,3666,R019
170,53,14956,R016
171,59,11085,R018
172,49,6254,R007
173,62,14268,R013
174,21,14097,R026
175,47,4786,R027
176,59,12440,R020
177,56,10213,R019
178,22,13505,R022
179,20,7860,R020
180,39,3261,R029
181,45,3172,R008
182,39,6880,R018
183,39,4054,R027
184,51,12084,R027
185,46,4815,R019
186,60,6674,R006
187,59,7196,R024
188,30,6584,R020
189,24,7021,R023
190,27,8230,R018
191,45,11979,R008
192,21,12182,R002
193,49,14509,R019
194,39,12652,R007
195,37,4631,R008
196,37,8345,R018
197,23,10096,R018
198,26,12460,R010
199,45,8300,R005
200,30,9348,R027
201,48,7844,R005
202,56,4176,R016
203,31,7362,R012
204,39,10097,R027
205,54,7599,R017
206,62,11068,R004
207,41,13684,R002
208,25,6258,R022
209,32,11146,R022
210,58,6119,R017
211,23,8640,R005
212,40,6288,R016
213,42,2877,R020
214,48,6485,R022
215,63,4544,R003
216,46,7059,R019
217,40,12368,R010
218,27,9164,R020
219,26,4600,R020
220,30,13299,R027
221,49,5528,R017
222,62,4408,R019
223,58,6860,R009
224,18,12165,R011
225,18,5948,R003
226,54,11430,R011
227,57,4334,R003
228,35,2767,R027
229,53,12608,R020
230,48,13737,R008
231,18,12501,R003
232,64,6883,R016
233,53,6206,R012
234,26,7948,R010
235,39,9085,R018
236,45,14428,R027
237,43,2744,R019
238,27,12774,R019
239,64,6174,R024
240,20,11709,R001
241,19,9198,R008
242,54,4556,R019
243,48,7066,R022
244,50,9797,R019
245,49,6161,R007
246,60,14175,R027
247,29,11586,R014
248,20,2286,R023
249,43,5247,R027
250,31,14410,R016
251,29,12794,R024
252,43,7099,R022
253,33,2003,R027
254,25,7935,R009
255,45,2411,R027
256,24,6345,R003
257,32,5727,R023
258,58,12109,R018
259,53,3356,R008
260,25,10349,R003
261,27,3600,R016
262,32,13076,R016
263,35,9157,R008
264,63,7706,R008
265,54,13681,R017
266,58,7559,R017
267,62,9196,R018
268,60,7073,R027
269,61,4382,R020
270,52,2152,R002
271,19,11821,R019
272,39,4796,R023
273,32,13073,R003
274,54,9282,R017
275,56,8951,R018
