transaction_id,customer_id,region,amount,product
T0001,C00321,R023,6861,Espresso
T0001,C00321,R023,9704,Muffin
T0001,C00321,R023,9577,Mocha
T0002,C00831,R010,9938,Scone
T0002,C00831,R010,8280,Latte
T0003,C00295,R015,3450,Espresso
T0003,C00295,R015,6785,Sandwich
T0003,C00295,R015,9034,Bagel
T0004,C00910,R025,6073,Sandwich
T0004,C00910,R025,5101,Muffin
T0004,C00910,R025,10665,Cappuccino
T0005,C00652,R014,3981,Croissant
T0005,C00652,R014,11569,Cappuccino
T0006,C00632,R028,4580,Muffin
T0006,C00632,R028,8891,Latte
T0006,C00632,R028,10898,Espresso
T0007,C00815,R001,11194,Muffin
T0007,C00815,R001,8063,Sandwich
T0008,C00087,R012,9481,Espresso
T0008,C00087,R012,5964,Mocha
T0009,C00736,R018,9261,Espresso
T0009,C00736,R018,9981,Sandwich
T0010,C00839,R021,4060,Croissant
T0010,C00839,R021,11500,Scone
T0010,C00839,R021,11823,Mocha
T0011,C00345,R014,7355,Bagel
T0011,C00345,R014,5247,Espresso
T0011,C00345,R014,4527,Cappuccino
T0012,C00444,R021,7199,Scone
T0012,C00444,R021,9828,Sandwich
T0012,C00444,R021,10834,Croissant
T0013,C00312,R003,6239,Espresso
T0013,C00312,R003,8692,Sandwich
T0013,C00312,R003,5134,Scone
T0014,C00822,R017,9054,Croissant
T0014,C00822,R017,5460,Espresso
T0015,C00228,R010,11535,Sandwich
T0015,C00228,R010,6117,Cappuccino
T0016,C00757,R025,7500,Latte
T0016,C00757,R025,11567,Muffin
T0017,C00171,R008,5770,Cappuccino
T0017,C00171,R008,5259,Espresso
T0018,C00280,R008,10402,Americano
T0018,C00280,R008,10877,Mocha
T0019,C00603,R016,11369,Croissant
T0019,C00603,R016,8063,Americano
T0020,C00418,R028,7713,Mocha
T0020,C00418,R028,9466,Croissant
T0021,C00555,R026,7332,Sandwich
T0021,C00555,R026,6334,Latte
T0022,C00059,R009,9019,Americano
T0022,C00059,R009,3250,Latte
T0023,C00657,R006,8988,Bagel
T0023,C00657,R006,7427,Croissant
T0024,C00596,R007,11579,Latte
T0024,C00596,R007,8127,Cappuccino
T0024,C00596,R007,10963,Scone
T0025,C00503,R016,11129,Mocha
T0025,C00503,R016,11790,Bagel
T0026,C00336,R015,8444,Mocha
T0026,C00336,R015,5252,Americano
T0026,C00336,R015,3917,Cappuccino
T0027,C00866,R004,5191,Latte
T0027,C00866,R004,6389,Bagel
T0027,C00866,R004,7606,Croissant
T0028,C00621,R001,4808,Muffin
T0028,C00621,R001,6176,Scone
T0028,C00621,R001,3677,Espresso
T0029,C00158,R020,11457,Espresso
T0029,C00158,R020,9885,Americano
T0029,C00158,R020,6277,Sandwich
T0030,C00847,R005,5753,Americano
T0030,C00847,R005,11918,Scone
T0030,C00847,R005,5410,Muffin
T0031,C00100,R004,11873,Scone
T0031,C00100,R004,5021,Croissant
T0032,C00302,R006,9456,Scone
T0032,C00302,R006,11312,Mocha
T0033,C00750,R008,9120,Sandwich
T0033,C00750,R008,11241,Americano
T0033,C00750,R008,11985,Mocha
T0034,C00594,R014,10243,Sandwich
T0034,C00594,R014,5486,Latte
T0035,C00132,R028,3756,Croissant
T0035,C00132,R028,9964,Mocha
T0036,C00918,R022,4348,Sandwich
T0036,C00918,R022,5750,Scone
T0037,C00432,R003,9162,Bagel
T0037,C00432,R003,4913,Sandwich
T0038,C00764,R007,4773,Croissant
T0038,C00764,R007,11307,Espresso
