order_id,store_id,order_date,order_amount,delivery_time
101,26,2023-10-24,38900,20
102,24,2023-12-16,41300,42
103,26,2023-12-04,31100,46
104,13,2023-08-14,20700,28
105,1,2023-07-09,8700,52
106,23,2023-12-15,29300,30
107,27,2023-08-26,16800,27
108,17,2023-09-22,17800,34
109,1,2023-12-14,11700,23
110,11,2023-11-26,39600,58
111,30,2023-12-03,13400,59
112,10,2023-10-18,39500,52
113,26,2023-09-14,22100,59
114,29,2023-12-28,15000,41
115,11,2023-11-04,33900,46
116,2,2023-08-06,18600,32
117,10,2023-11-22,26000,51
118,8,2023-10-05,34500,44
119,3,2023-12-08,16700,37
120,3,2023-08-23,5700,29
121,24,2023-12-23,33900,21
122,7,2023-07-21,35700,56
123,22,2023-08-24,43200,32
124,20,2023-10-28,24600,23
125,10,2023-12-03,25500,54
126,18,2023-10-09,15200,43
127,8,2023-09-11,48500,28
128,10,2023-11-29,46800,29
129,21,2023-12-10,8600,35
130,26,2023-10-14,32600,48
131,14,2023-11-03,26000,39
132,17,2023-09-18,18200,38
133,14,2023-09-11,30600,38
134,1,2023-07-13,28100,39
135,6,2023-08-07,29400,43
136,19,2023-07-23,6000,58
137,19,2023-08-15,28200,47
138,17,2023-12-09,24500,34
139,2,2023-11-10,36300,20
140,5,2023-08-04,13700,44
141,13,2023-11-22,29600,45
142,25,2023-08-26,28800,32
143,16,2023-08-24,10200,56
144,7,2023-08-20,32600,35
145,2,2023-09-28,39200,25
146,2,2023-10-01,20700,47
147,8,2023-11-27,30400,32
148,27,2023-10-05,41600,59
149,24,2023-11-05,41700,46
150,8,2023-09-02,44700,23
151,25,2023-08-12,24000,26
152,30,2023-09-16,37200,35
153,8,2023-09-19,41600,41
154,29,2023-10-11,11500,53
155,29,2023-07-11,21000,25
156,17,2023-08-13,15300,31
157,7,2023-09-28,26000,21
158,24,2023-07-14,25900,51
159,12,2023-12-23,42100,50
160,15,2023-10-04,46700,42
161,10,2023-09-21,11300,22
162,29,2023-07-18,25200,51
163,14,2023-11-21,17000,34
164,17,2023-11-21,6700,57
165,22,2023-09-11,21900,48
166,27,2023-11-21,24700,44
167,25,2023-12-21,40000,32
168,10,2023-09-22,38600,53
169,22,2023-10-02,16100,31
170,14,2023-10-09,11800,35
171,19,2023-11-24,44300,21
172,23,2023-10-30,36700,46
173,17,2023-12-21,6000,37
174,13,2023-11-08,27300,20
175,1,2023-12-01,43600,40
176,3,2023-11-01,28900,24
177,1,2023-08-01,39800,23
178,19,2023-07-03,42800,59
179,16,2023-08-31,15800,37
180,13,2023-09-12,40800,57
181,3,2023-10-08,26900,45
182,23,2023-12-29,43300,55
183,11,2023-09-26,17300,27
184,3,2023-08-05,23500,23
185,13,2023-08-20,26800,56
186,1,2023-11-18,26100,41
187,22,2023-10-02,20300,47
188,20,2023-11-13,20700,41
189,22,2023-10-01,25200,24
190,18,2023-12-27,40500,29
191,23,2023-09-01,8800,31
192,20,2023-10-28,39200,56
193,3,2023-11-28,22700,24
194,17,2023-08-08,35900,32
195,10,2023-11-04,32700,30
196,8,2023-10-18,34000,49
197,23,2023-12-12,43500,25
198,5,2023-12-12,12900,56
199,6,2023-09-12,32100,34
200,9,2023-08-27,10600,47
