store_id,category,area
1,Western,Gangnam
2,Korean,Mapo
3,Korean,
4,Western,Gangnam
5,,Seocho
6,Korean,Mapo
7,Japanese,Gangnam
8,Japanese,Seocho
9,Korean,Seocho
10,Chinese,Mapo
11,Western,Songpa
12,Western,
13,Japanese,Songpa
14,Japanese,
15,Korean,Gangnam
16,Chinese,Songpa
17,Japanese,Gangnam
18,Western,Seocho
19,Korean,Jongno
20,Japanese,Seocho
21,Chinese,
22,Japanese,Jongno
23,,Mapo
24,Japanese,Gangnam
25,Chinese,Seocho
26,Western,
27,Western,Gangnam
28,Japanese,Seocho
29,,Seocho
30,Western,Seocho
