project_id,researcher_id,start_date,end_date,role
1,13,2023-03-25,2023-05-25,PM
2,92,2023-05-26,2024-02-22,Member
3,45,2023-04-10,2024-01-14,PM
4,11,2022-04-20,2022-11-06,PM
5,81,2023-08-18,2024-03-10,PM
6,84,2023-05-03,2023-06-05,PM
7,18,2022-03-03,2022-12-20,PM
8,64,2022-11-15,2023-04-15,PM
9,9,2022-04-07,2022-10-24,Member
10,89,2023-07-17,2023-12-10,PM
11,61,2023-03-30,2023-07-20,PM
12,56,2022-03-18,2022-12-05,PM
13,100,2022-06-19,2022-12-26,Member
14,29,2022-10-18,2023-10-06,PM
15,30,2023-11-30,2024-01-15,PM
16,11,2023-01-22,2023-07-31,PM
17,27,2022-10-23,2022-12-26,Member
18,91,2022-05-10,2022-06-15,PM
19,46,2023-05-24,2023-12-09,Member
20,31,2023-02-16,2023-12-22,Member
21,63,2022-10-17,2023-02-07,Member
22,69,2022-03-24,2022-12-24,PM
23,80,2023-05-05,2023-07-16,PM
24,4,2023-03-29,2023-06-17,PM
25,57,2022-06-17,2023-06-16,PM
26,63,2023-07-10,2024-02-10,PM
27,56,2023-12-10,2024-10-14,PM
28,6,2022-08-05,2023-06-28,Member
29,33,2022-04-05,2022-07-30,PM
30,51,2022-02-23,2022-09-03,PM
31,98,2022-11-09,2023-04-27,Member
32,20,2022-10-08,2023-03-13,Member
33,41,2022-01-21,2022-07-06,PM
34,37,2022-06-06,2022-10-29,Member
35,13,2023-02-11,2023-12-12,PM
36,1,2022-02-12,2022-03-15,Member
37,60,2022-08-13,2022-11-02,PM
38,68,2023-01-09,2023-11-07,Member
39,80,2022-11-04,2023-08-23,Member
40,8,2023-04-02,2023-08-27,PM
41,73,2022-05-10,2022-08-16,Member
42,73,2023-01-19,2023-03-02,Member
43,16,2023-01-02,2023-04-06,Member
44,7,2023-08-25,2024-01-27,PM
45,47,2023-01-22,2023-07-25,PM
46,9,2022-07-31,2022-12-28,PM
47,4,2022-07-31,2023-05-17,PM
48,11,2022-12-30,2023-03-28,Member
49,80,2023-09-27,2024-05-24,PM
50,75,2023-10-10,2024-04-14,Member
51,75,2023-10-01,2024-02-14,PM
52,46,2023-06-24,2024-03-07,PM
53,41,2023-02-07,2023-04-23,PM
54,42,2023-10-02,2024-08-29,PM
55,84,2023-06-13,2023-09-13,Member
56,97,2023-09-01,2024-07-18,PM
