publication_id,researcher_id,journal,impact_factor,publish_date
1,9,IEEE,1.1,2022-06-04
2,77,ACM,3.1,2023-04-23
3,17,PLOS ONE,2.4,2023-03-02
4,60,Springer,3.7,2022-04-13
5,20,PLOS ONE,2.8,2022-10-23
6,91,Springer,4.9,2021-03-18
7,31,Nature,3.7,2023-12-04
8,45,ACM,3.0,2021-04-17
9,33,Elsevier,4.0,2021-04-27
10,95,IEEE,4.8,2021-05-05
11,32,PLOS ONE,2.8,2021-10-20
12,23,ACM,3.7,2021-08-14
13,62,IEEE,1.7,2023-03-30
14,85,PLOS ONE,3.6,2021-08-18
15,72,Nature,4.7,2023-10-16
16,91,IEEE,2.7,2023-04-06
17,12,ACM,5.0,2022-12-17
18,78,IEEE,4.9,2023-01-26
19,76,ACM,3.0,2023-03-31
20,89,Springer,2.8,2023-09-04
21,12,PLOS ONE,4.8,2022-12-25
22,43,Nature,4.8,2021-03-10
23,20,ACM,1.5,2022-02-16
24,98,ACM,3.5,2021-12-19
25,28,Elsevier,5.0,2021-10-01
26,99,Elsevier,3.9,2021-09-13
27,34,PLOS ONE,2.3,2021-09-13
28,73,IEEE,4.1,2023-07-08
29,25,Springer,4.4,2023-07-06
30,81,Springer,2.8,2023-11-13
31,19,Springer,3.3,2021-10-02
32,14,PLOS ONE,3.9,2022-02-12
33,57,IEEE,3.6,2022-07-16
34,81,IEEE,4.4,2021-01-06
35,43,ACM,3.4,2022-03-18
36,48,Springer,1.2,2023-07-20
37,86,Springer,2.8,2021-09-25
38,57,IEEE,2.9,2022-08-23
39,40,Nature,4.6,2023-11-06
40,99,ACM,3.1,2023-06-27
41,58,Springer,3.2,2021-05-09
42,73,Elsevier,4.7,2023-07-19
43,74,IEEE,4.4,2021-12-20
44,46,Springer,2.8,2021-04-22
45,16,Nature,4.0,2021-11-20
46,69,Elsevier,4.4,2022-11-16
47,74,Elsevier,4.0,2021-12-31
48,21,IEEE,3.0,2023-09-26
49,63,IEEE,1.6,2022-02-10
50,20,Elsevier,3.3,2021-01-26
51,46,Elsevier,1.9,2023-12-26
52,39,Nature,2.1,2023-10-30
53,54,ACM,1.5,2023-04-20
54,90,Nature,1.6,2021-12-12
55,6,Springer,2.9,2021-07-09
56,96,IEEE,1.9,2023-08-03
57,90,Elsevier,2.2,2021-11-17
58,94,IEEE,3.6,2021-04-13
59,59,Nature,4.2,2022-04-13
60,28,ACM,2.8,2023-09-04
61,28,IEEE,2.2,2022-11-25
62,51,PLOS ONE,2.7,2021-11-04
63,71,Elsevier,1.3,2022-02-24
64,53,Springer,2.8,2022-08-31
65,42,Springer,4.1,2021-06-18
66,4,ACM,2.8,2022-01-15
67,89,Nature,4.4,2022-01-31
68,15,PLOS ONE,1.4,2023-08-12
69,81,Springer,1.7,2022-01-07
70,82,ACM,3.8,2021-05-13
71,85,Springer,1.7,2023-08-24
72,5,Springer,2.6,2023-07-25
73,78,ACM,3.4,2022-11-05
74,80,PLOS ONE,1.8,2023-08-25
75,93,PLOS ONE,4.9,2023-11-14
76,59,IEEE,2.0,2023-04-14
77,51,Springer,3.6,2021-01-12
78,71,Elsevier,4.9,2021-11-15
79,19,PLOS ONE,4.1,2021-06-21
80,27,IEEE,4.5,2022-04-29
81,3,Elsevier,4.1,2021-08-06
82,52,Nature,2.6,2022-05-31
83,4,PLOS ONE,3.4,2022-12-16
84,66,PLOS ONE,1.7,2022-01-03
85,83,PLOS ONE,1.0,2022-07-07
86,12,Nature,1.8,2021-07-12
87,98,IEEE,1.2,2021-05-26
88,75,ACM,2.2,2022-11-26
89,41,PLOS ONE,3.6,2022-08-27
90,32,ACM,1.1,2021-04-07
91,38,IEEE,2.7,2023-04-22
92,42,PLOS ONE,2.8,2023-01-12
93,11,IEEE,1.0,2023-12-14
94,79,ACM,1.0,2021-01-01
95,53,PLOS ONE,1.1,2021-01-25
96,3,ACM,2.2,2022-04-08
97,21,IEEE,4.1,2021-10-04
98,93,IEEE,2.9,2021-01-11
99,64,PLOS ONE,1.6,2023-08-01
100,44,Elsevier,1.2,2023-09-15
101,45,Nature,5.0,2022-01-04
102,96,IEEE,3.6,2021-04-19
103,32,Elsevier,1.5,2022-08-29
104,56,Elsevier,2.7,2023-06-01
105,32,IEEE,2.0,2022-05-23
106,27,PLOS ONE,4.1,2022-12-14
107,67,Nature,4.0,2021-04-15
108,50,IEEE,1.2,2021-03-07
109,63,IEEE,2.1,2022-05-24
110,84,ACM,3.5,2022-07-12
111,18,ACM,2.6,2023-09-05
112,82,IEEE,4.1,2023-04-01
113,23,Elsevier,3.9,2021-12-06
114,87,Nature,4.9,2022-08-20
115,56,ACM,3.6,2021-01-25
116,99,Elsevier,4.8,2021-01-15
117,88,Springer,4.5,2023-10-03
118,69,Springer,3.7,2021-06-14
119,28,ACM,3.2,2021-01-27
120,10,IEEE,2.5,2023-01-10
121,17,PLOS ONE,4.5,2021-07-15
122,79,PLOS ONE,4.8,2022-12-27
123,24,Elsevier,2.4,2021-01-27
124,52,Nature,3.9,2022-06-01
125,59,ACM,3.4,2023-01-03
126,100,IEEE,3.1,2021-08-29
127,82,PLOS ONE,1.5,2021-01-31
128,43,Springer,2.3,2022-03-23
