cinema_id,region,city
1,Incheon,Namdong
2,Incheon,Bupyeong
3,Daejeon,Jung-gu
4,Incheon,Yeonsu
5,Incheon,Bupyeong
6,Seoul,Mapo
7,Gyeonggi,Yongin
8,Gyeonggi,Seongnam
9,Daejeon,Yuseong
10,Daegu,Dalseo
11,Busan,Haeundae
12,Gyeonggi,Bucheon
13,Incheon,Bupyeong
14,Daejeon,Yuseong
15,Daegu,Dalseo
16,Busan,Dongnae
17,Incheon,Namdong
18,Daegu,Suseong
19,Busan,Busanjin
20,Daejeon,Seo-gu
21,Daegu,Jung-gu
22,Incheon,Bupyeong
23,Incheon,Bupyeong
24,Incheon,Bupyeong
25,Gwangju,Buk-gu
26,Daejeon,Yuseong
27,Gwangju,Buk-gu
28,Gyeonggi,Suwon
29,Gwangju,Gwangsan
30,Gwangju,Buk-gu
