transaction_id,age_group,gender
1,50s+,Female
2,30s,Male
3,20s,Female
4,50s+,Female
5,30s,Male
6,50s+,Male
7,Teens,Female
8,40s,Female
9,50s+,Female
10,40s,Female
11,30s,Female
12,Teens,Male
13,40s,Male
14,Teens,Female
15,50s+,Male
16,40s,Male
17,30s,Female
18,40s,Female
19,50s+,Female
20,Teens,Female
21,40s,Female
22,40s,Male
23,50s+,Male
24,40s,Male
25,20s,Male
26,40s,Female
27,Teens,Male
28,30s,Female
29,Teens,Male
30,Teens,Male
31,30s,Male
32,50s+,Male
33,30s,Male
34,20s,Male
35,20s,Male
36,40s,Male
37,Teens,Female
38,40s,Female
39,40s,Female
40,30s,Female
41,20s,Male
42,30s,Male
43,Teens,Female
44,20s,Male
45,40s,Male
46,30s,Male
47,30s,Female
48,40s,Male
49,Teens,Male
50,20s,Female
51,Teens,Male
52,30s,Female
53,Teens,Male
54,50s+,Male
55,20s,Female
56,Teens,Female
57,30s,Female
58,50s+,Female
59,40s,Male
60,Teens,Male
61,Teens,Female
62,Teens,Female
63,50s+,Male
64,40s,Male
65,50s+,Male
66,50s+,Female
67,40s,Male
68,50s+,Male
69,Teens,Female
70,Teens,Female
71,30s,Female
72,40s,Male
73,50s+,Male
74,20s,Female
75,30s,Male
76,Teens,Female
77,50s+,Female
78,Teens,Male
79,20s,Male
80,20s,Male
81,30s,Male
82,50s+,Female
83,30s,Male
84,40s,Male
85,50s+,Male
86,40s,Male
87,50s+,Male
88,Teens,Female
89,20s,Female
90,20s,Male
91,50s+,Female
92,Teens,Male
93,20s,Male
94,40s,Male
95,20s,Male
96,20s,Male
97,50s+,Male
98,40s,Female
99,30s,Female
100,20s,Female
101,50s+,Female
102,20s,Female
103,50s+,Female
104,30s,Male
105,50s+,Male
106,20s,Male
107,30s,Male
108,20s,Male
109,30s,Male
110,40s,Female
111,Teens,Female
112,30s,Female
113,30s,Male
114,40s,Female
115,30s,Male
116,Teens,Female
117,50s+,Female
118,Teens,Female
119,50s+,Female
120,50s+,Male
121,20s,Male
122,40s,Female
123,40s,Male
124,Teens,Male
125,Teens,Male
126,50s+,Male
127,Teens,Female
128,50s+,Female
129,Teens,Female
130,40s,Male
131,20s,Male
132,50s+,Female
133,40s,Female
134,Teens,Female
135,20s,Male
136,50s+,Female
137,30s,Male
138,50s+,Male
139,Teens,Female
140,50s+,Male
141,Teens,Male
142,50s+,Male
143,30s,Female
144,20s,Female
145,Teens,Male
146,40s,Female
147,30s,Male
148,50s+,Female
149,20s,Female
150,20s,Female
151,50s+,Male
152,Teens,Male
153,50s+,Female
154,50s+,Female
155,40s,Male
156,20s,Male
157,20s,Female
158,30s,Male
159,30s,Female
160,Teens,Female
161,30s,Female
162,Teens,Female
163,20s,Male
164,Teens,Male
165,30s,Female
166,20s,Male
167,30s,Female
168,Teens,Male
169,30s,Female
170,Teens,Male
171,50s+,Male
172,Teens,Male
173,Teens,Male
174,40s,Male
175,30s,Male
176,40s,Male
177,30s,Male
178,Teens,Male
179,20s,Female
180,40s,Female
181,Teens,Female
182,40s,Female
183,20s,Male
184,40s,Male
185,Teens,Male
186,20s,Female
187,40s,Female
188,Teens,Female
189,30s,Female
190,20s,Female
191,20s,Female
192,20s,Male
193,20s,Male
194,40s,Male
195,50s+,Male
196,30s,Female
197,30s,Female
198,Teens,Male
199,Teens,Male
200,20s,Male
201,40s,Male
202,50s+,Female
203,Teens,Male
204,30s,Male
205,50s+,Female
206,20s,Female
207,50s+,Female
208,50s+,Male
209,40s,Female
210,40s,Male
211,50s+,Female
212,30s,Male
213,30s,Male
214,30s,Male
215,20s,Female
216,40s,Female
217,50s+,Female
218,20s,Female
219,50s+,Male
220,50s+,Female
221,50s+,Female
222,Teens,Male
223,40s,Female
224,20s,Female
225,Teens,Female
226,50s+,Male
227,50s+,Male
228,Teens,Male
229,30s,Female
230,30s,Male
231,Teens,Male
232,40s,Male
233,30s,Male
234,20s,Female
235,Teens,Male
236,20s,Female
237,40s,Female
238,30s,Male
239,20s,Female
240,30s,Female
241,30s,Female
242,30s,Male
243,20s,Female
244,40s,Female
245,Teens,Male
246,50s+,Female
247,20s,Female
248,40s,Female
249,Teens,Female
250,50s+,Female
251,40s,Female
252,40s,Male
253,50s+,Female
254,40s,Female
255,30s,Female
256,50s+,Male
257,30s,Female
258,50s+,Male
259,50s+,Female
260,50s+,Female
261,30s,Female
262,50s+,Female
263,30s,Female
264,20s,Female
265,20s,Male
266,40s,Female
267,20s,Male
268,40s,Male
269,20s,Male
270,20s,Male
271,Teens,Female
272,40s,Female
273,50s+,Female
274,50s+,Female
275,50s+,Female
276,50s+,Male
277,50s+,Female
278,30s,Male
279,30s,Male
280,Teens,Male
281,Teens,Male
282,Teens,Male
283,30s,Male
284,20s,Male
285,20s,Female
286,30s,Female
287,Teens,Female
288,50s+,Female
289,20s,Female
290,30s,Male
291,40s,Female
292,Teens,Male
293,50s+,Female
294,40s,Female
295,20s,Female
296,50s+,Male
297,30s,Female
298,Teens,Female
299,Teens,Female
300,Teens,Female
301,20s,Male
302,Teens,Male
303,Teens,Male
304,40s,Male
305,30s,Female
306,50s+,Male
307,20s,Female
308,40s,Female
309,Teens,Female
310,40s,Male
311,30s,Female
312,50s+,Female
313,50s+,Female
314,Teens,Male
315,20s,Male
316,20s,Female
317,30s,Female
318,30s,Female
319,20s,Female
320,40s,Female
321,Teens,Male
322,20s,Female
323,Teens,Male
324,40s,Male
325,40s,Male
326,40s,Male
327,50s+,Male
328,20s,Male
329,Teens,Male
330,Teens,Male
331,20s,Female
332,Teens,Female
333,50s+,Male
334,Teens,Male
335,50s+,Male
336,20s,Male
337,20s,Female
338,30s,Male
339,30s,Male
340,40s,Female
341,20s,Male
342,Teens,Female
343,40s,Male
344,40s,Male
345,Teens,Male
346,50s+,Female
347,20s,Female
348,30s,Male
349,30s,Female
350,20s,Female
351,30s,Male
352,20s,Male
353,20s,Female
354,30s,Male
355,40s,Male
356,Teens,Female
357,30s,Female
358,50s+,Male
359,40s,Female
360,50s+,Female
361,30s,Male
362,40s,Female
363,30s,Female
364,30s,Male
365,30s,Female
366,50s+,Male
367,20s,Female
368,30s,Male
369,50s+,Male
370,50s+,Female
371,40s,Male
372,20s,Male
373,50s+,Female
374,20s,Female
375,Teens,Male
376,20s,Female
377,30s,Female
378,50s+,Female
379,30s,Female
380,30s,Male
381,20s,Female
382,50s+,Male
383,20s,Female
384,30s,Male
385,30s,Male
386,20s,Male
387,40s,Male
388,50s+,Female
389,20s,Male
390,20s,Female
391,20s,Female
392,20s,Male
393,20s,Male
394,40s,Female
395,Teens,Female
396,20s,Female
397,30s,Male
398,40s,Male
399,Teens,Female
400,20s,Female
401,20s,Female
402,20s,Male
403,40s,Female
404,Teens,Male
405,20s,Male
406,40s,Male
407,Teens,Female
408,20s,Female
409,Teens,Female
410,50s+,Male
411,40s,Female
412,20s,Female
413,Teens,Female
414,30s,Female
415,40s,Female
416,20s,Female
417,Teens,Male
418,40s,Male
419,50s+,Female
420,20s,Female
421,30s,Female
422,30s,Female
423,Teens,Female
424,20s,Male
425,Teens,Male
426,Teens,Female
427,30s,Male
428,40s,Female
429,Teens,Male
430,Teens,Male
431,20s,Female
432,20s,Male
433,30s,Female
434,20s,Male
435,50s+,Male
436,20s,Male
437,30s,Male
438,30s,Female
439,50s+,Male
440,40s,Female
441,40s,Male
442,Teens,Male
