movie_id,title,genre
1,Avengers: Endgame,"Action, Adventure, SF"
2,Inception,"Action, SF, Thriller"
3,The Dark Knight,"Action, Crime, Drama"
4,Frozen,"Animation, Fantasy, Musical"
5,Parasite,"Drama, Thriller"
6,Matrix,"SF, Action, Thriller"
7,Interstellar,"SF, Adventure, Drama"
8,Spider-Man: No Way Home,"Action, Adventure, SF"
9,Titanic,"Romance, Drama"
10,Avatar,"SF, Adventure, Action"
11,Inside Out,"Animation, Family, Comedy"
12,The Lion King,"Animation, Drama, Adventure"
13,Jurassic World,"Action, Adventure, SF"
14,Top Gun: Maverick,"Action, Drama"
15,Black Panther,"Action, Adventure, SF"
16,Star Wars: Episode VII,"SF, Adventure, Action"
17,Zootopia,"Animation, Comedy, Adventure"
18,La La Land,"Romance, Drama, Musical"
19,Mad Max: Fury Road,"Action, Adventure, SF"
20,The Greatest Showman,"Drama, Musical"
