transaction_id,cinema_id,movie_id,ticket_sales,date,time,purchase_channel
1,8,2,3,2023-04-29,18:30,Offline
2,24,6,2,2023-03-13,10:00,Online
3,4,6,2,2023-03-09,11:00,Offline
4,24,9,4,2023-08-23,15:00,Mobile
5,27,4,1,2023-03-02,16:30,Online
6,27,19,4,2023-07-16,22:30,Offline
7,2,10,1,2023-03-27,21:30,Offline
8,28,4,2,2023-09-28,13:30,Offline
9,30,20,2,2023-09-11,16:00,Mobile
10,8,18,3,2023-04-26,19:30,Mobile
11,4,10,1,2023-08-28,13:30,Mobile
12,30,12,2,2023-07-04,13:30,Mobile
13,4,1,4,2023-06-05,10:00,Online
14,15,10,2,2023-02-17,13:00,Offline
15,27,5,3,2023-05-23,10:30,Online
16,1,13,2,2023-06-08,11:00,Offline
17,21,20,3,2023-05-02,15:00,Offline
18,24,19,1,2023-08-01,18:00,Mobile
19,12,13,2,2023-07-21,15:00,Online
20,21,7,2,2023-12-18,22:00,Offline
21,17,10,4,2023-03-09,11:00,Mobile
22,4,19,2,2023-03-02,16:30,Online
23,2,8,4,2023-04-14,11:00,Online
24,20,16,1,2023-11-07,15:00,Offline
25,28,9,1,2023-12-25,14:30,Offline
26,8,3,1,2023-11-19,13:00,Offline
27,17,3,1,2023-11-06,22:00,Offline
28,13,3,1,2023-12-29,10:30,Mobile
29,5,14,4,2023-02-20,18:00,Mobile
30,5,20,4,2023-05-31,14:00,Offline
31,14,12,3,2023-02-21,15:30,Offline
32,24,20,2,2023-12-05,14:30,Offline
33,12,3,3,2023-05-23,11:30,Mobile
34,26,18,3,2023-09-19,11:00,Online
35,29,1,3,2023-04-11,20:00,Offline
36,18,6,2,2023-03-28,22:30,Offline
37,7,7,4,2023-03-23,14:00,Offline
38,2,15,1,2023-10-30,15:30,Offline
39,10,10,1,2023-12-25,14:30,Offline
40,29,19,4,2023-10-12,12:00,Mobile
41,12,16,3,2023-09-05,12:00,Offline
42,16,19,2,2023-02-24,17:30,Online
43,19,7,1,2023-08-06,13:30,Online
44,28,20,3,2023-12-26,16:30,Mobile
45,28,2,2,2023-06-05,22:30,Mobile
46,17,3,2,2023-05-31,18:30,Online
47,2,6,1,2023-08-15,13:00,Mobile
48,22,7,4,2023-09-06,11:30,Online
49,13,1,1,2023-11-04,22:00,Mobile
50,29,2,3,2023-11-08,12:00,Mobile
51,28,6,4,2023-07-04,11:30,Mobile
52,5,15,3,2023-08-09,21:30,Mobile
53,22,8,3,2023-01-30,11:00,Online
54,22,6,2,2023-06-04,18:00,Offline
55,17,10,1,2023-07-12,12:00,Offline
56,27,19,1,2023-05-13,21:30,Online
57,4,9,4,2023-07-12,16:30,Mobile
58,8,9,3,2023-05-02,20:00,Online
59,17,11,4,2023-11-14,22:00,Offline
60,21,6,3,2023-07-14,19:00,Mobile
61,14,3,1,2023-09-15,16:00,Mobile
62,4,4,3,2023-11-27,21:00,Mobile
63,7,16,3,2023-04-06,13:30,Online
64,14,10,1,2023-05-02,20:00,Offline
65,23,10,3,2023-03-12,15:30,Mobile
66,12,17,1,2023-04-20,17:30,Mobile
67,21,9,3,2023-04-20,21:30,Online
68,17,18,2,2023-10-15,12:30,Mobile
69,28,2,4,2023-06-20,10:00,Online
70,30,12,3,2023-01-20,20:30,Offline
71,19,6,4,2023-12-16,22:30,Offline
72,20,8,4,2023-08-16,22:00,Offline
73,20,3,2,2023-08-30,13:30,Offline
74,6,13,2,2023-12-23,11:30,Offline
75,2,10,1,2023-05-25,22:30,Online
76,4,16,3,2023-10-27,10:00,Mobile
77,1,15,2,2024-01-01,12:00,Mobile
78,7,19,2,2023-04-16,17:00,Offline
79,4,13,2,2023-10-31,19:00,Offline
80,13,10,3,2024-01-01,12:30,Online
81,14,9,3,2023-03-05,12:30,Mobile
82,5,19,3,2023-09-26,11:30,Online
83,20,4,1,2023-12-15,21:30,Mobile
84,28,11,4,2023-08-24,19:00,Offline
85,14,4,1,2023-03-20,10:30,Online
86,4,15,2,2023-07-18,13:00,Offline
87,3,13,3,2023-06-13,21:00,Mobile
88,4,4,2,2023-07-16,18:00,Offline
89,17,18,3,2023-02-01,12:30,Mobile
90,5,2,1,2023-07-21,17:30,Offline
91,7,20,2,2023-05-14,20:00,Offline
92,14,18,3,2023-07-30,18:30,Online
93,30,9,2,2023-07-21,13:30,Mobile
94,21,9,3,2023-03-02,12:00,Online
95,22,7,3,2023-03-06,16:00,Mobile
96,27,9,1,2023-03-09,18:00,Mobile
97,9,16,2,2023-12-30,11:00,Offline
98,2,17,2,2023-11-16,13:30,Online
99,20,2,1,2023-12-22,18:00,Offline
100,16,1,2,2023-11-26,15:00,Offline
101,15,7,1,2023-05-11,12:00,Mobile
102,9,4,2,2023-10-26,14:00,Mobile
103,3,20,2,2023-02-05,11:00,Mobile
104,3,3,1,2023-12-07,14:30,Online
105,13,9,4,2023-03-21,12:00,Online
106,30,11,3,2023-05-15,21:30,Mobile
107,2,15,4,2023-03-06,15:30,Online
108,26,12,2,2023-03-10,15:30,Offline
109,21,14,4,2023-08-21,17:00,Offline
110,4,8,4,2023-01-20,20:30,Online
111,5,17,2,2023-10-10,16:00,Mobile
112,6,17,4,2023-02-27,13:00,Online
113,5,14,4,2023-01-31,12:30,Offline
114,8,1,4,2023-04-20,13:00,Mobile
115,26,18,2,2023-09-29,12:00,Mobile
116,7,7,3,2023-03-12,13:00,Offline
117,23,10,1,2023-04-21,14:00,Online
118,20,4,1,2023-12-24,10:00,Mobile
119,24,11,4,2023-09-22,16:30,Online
120,24,15,4,2023-04-06,21:00,Mobile
121,22,12,3,2023-01-16,20:00,Offline
122,3,5,1,2023-02-24,11:00,Online
123,30,18,2,2023-09-16,12:00,Online
124,3,17,2,2023-06-12,15:30,Online
125,11,13,2,2023-07-19,18:00,Mobile
126,5,11,1,2023-02-14,21:30,Mobile
127,21,5,3,2023-12-21,12:00,Mobile
128,8,4,4,2023-09-13,10:30,Offline
129,19,16,2,2023-10-31,14:00,Offline
130,29,9,3,2023-07-30,18:30,Offline
131,12,2,3,2023-05-07,13:00,Online
132,29,13,1,2023-08-08,19:00,Mobile
133,1,15,3,2023-06-22,14:00,Mobile
134,6,19,2,2023-10-06,10:30,Online
135,1,16,3,2023-07-12,16:00,Offline
136,11,19,1,2023-07-09,22:30,Mobile
137,26,5,3,2023-07-05,18:00,Mobile
138,2,8,2,2023-09-09,10:30,Offline
139,17,10,4,2023-05-22,14:00,Mobile
140,20,7,1,2023-12-29,22:30,Online
141,15,15,2,2023-05-23,10:30,Offline
142,18,14,2,2023-08-21,20:30,Mobile
143,14,10,2,2023-09-17,22:30,Mobile
144,17,12,4,2023-07-26,19:00,Offline
145,7,1,1,2023-03-12,12:00,Offline
146,3,5,4,2023-08-13,18:00,Mobile
147,14,19,3,2023-12-13,11:30,Offline
148,12,1,3,2023-02-26,12:30,Mobile
149,23,20,3,2023-12-22,19:30,Offline
150,6,12,1,2023-05-09,21:00,Online
151,4,10,1,2023-10-14,14:00,Mobile
152,29,18,2,2023-08-17,11:00,Offline
153,12,3,4,2023-11-28,15:30,Mobile
154,20,19,2,2023-04-15,18:00,Offline
155,21,17,4,2023-08-30,12:00,Online
156,16,2,2,2023-02-26,14:30,Online
157,16,17,4,2023-03-25,20:30,Offline
158,26,12,1,2023-08-04,12:00,Online
159,14,16,4,2023-04-17,21:00,Offline
160,29,5,4,2023-03-08,20:00,Mobile
161,28,17,3,2023-03-16,22:30,Online
162,2,5,2,2023-11-03,20:30,Online
163,12,15,1,2023-12-24,10:30,Mobile
164,25,5,1,2023-06-26,15:30,Mobile
165,17,9,2,2023-01-20,16:00,Online
166,21,3,4,2023-08-13,10:00,Offline
167,17,12,1,2023-11-29,15:00,Mobile
168,19,11,1,2023-10-18,21:30,Offline
169,30,19,2,2023-07-02,16:30,Online
170,4,16,1,2023-09-29,11:00,Online
171,12,14,3,2023-02-27,21:00,Mobile
172,4,3,4,2023-01-19,11:30,Offline
173,9,1,4,2023-05-19,18:00,Online
174,22,3,1,2023-01-20,15:00,Mobile
175,30,10,4,2023-07-02,21:30,Mobile
176,3,12,3,2023-06-10,14:00,Offline
177,16,8,4,2023-10-24,14:30,Mobile
178,3,1,4,2023-08-08,18:00,Online
179,26,18,2,2023-07-06,21:30,Online
180,23,10,1,2023-12-18,20:00,Online
181,4,15,1,2023-05-30,12:00,Mobile
182,26,17,1,2023-09-27,19:30,Mobile
183,28,9,4,2023-11-27,13:00,Offline
184,22,6,2,2023-11-20,11:00,Online
185,23,9,1,2023-08-10,12:30,Mobile
186,18,6,2,2023-08-12,12:30,Offline
187,17,17,1,2023-10-23,22:00,Mobile
188,15,16,4,2023-11-25,13:30,Offline
189,12,8,2,2023-05-19,21:30,Offline
190,3,10,4,2023-07-09,22:00,Offline
191,23,15,3,2023-06-05,11:00,Online
192,30,12,2,2023-07-11,19:30,Mobile
193,27,10,3,2023-03-06,22:00,Mobile
194,21,11,3,2023-10-28,19:00,Mobile
195,14,6,3,2024-01-01,15:30,Online
196,15,14,1,2023-01-12,21:30,Online
197,15,1,4,2023-05-09,21:00,Offline
198,10,20,3,2023-10-05,22:30,Online
199,29,3,2,2023-10-16,17:30,Mobile
200,10,4,4,2023-06-11,15:30,Online
201,5,18,3,2023-05-12,21:00,Offline
202,6,16,1,2023-05-05,20:00,Offline
203,11,5,3,2023-04-22,21:30,Offline
204,15,9,4,2023-03-13,12:00,Mobile
205,12,4,4,2023-09-10,13:30,Offline
206,28,11,1,2023-12-13,19:30,Mobile
207,24,8,1,2023-02-10,18:30,Online
208,1,2,1,2023-06-29,22:30,Mobile
209,2,19,3,2023-04-28,17:30,Online
210,27,6,2,2023-08-31,12:30,Mobile
211,3,18,4,2023-06-02,12:00,Mobile
212,9,7,1,2023-09-01,11:30,Online
213,13,1,2,2023-10-02,11:00,Mobile
214,22,9,4,2023-08-14,20:00,Mobile
215,17,5,2,2023-12-16,11:30,Offline
216,28,18,2,2023-06-11,11:00,Mobile
217,6,9,2,2023-10-03,16:30,Offline
218,11,10,3,2023-07-09,21:30,Offline
219,5,12,3,2023-05-17,11:30,Offline
220,14,18,3,2023-12-20,18:00,Online
221,5,14,1,2023-10-23,17:00,Offline
222,6,6,1,2023-06-10,18:30,Mobile
223,5,7,3,2023-11-30,20:30,Online
224,16,10,3,2023-03-31,14:00,Mobile
225,22,11,2,2023-07-18,14:00,Offline
226,15,19,1,2023-08-28,12:00,Mobile
227,6,11,3,2023-11-03,13:30,Offline
228,5,12,4,2023-08-14,21:30,Offline
229,6,18,1,2023-12-07,17:30,Offline
230,24,16,3,2023-10-13,21:00,Offline
231,18,5,3,2023-02-24,22:30,Offline
232,17,14,3,2023-10-27,15:30,Mobile
233,9,1,2,2023-02-10,19:30,Mobile
234,2,8,4,2023-01-01,14:00,Online
235,20,10,4,2023-05-18,19:00,Online
236,27,16,1,2023-03-10,17:00,Offline
237,2,12,4,2023-08-17,20:00,Offline
238,3,14,3,2023-08-22,21:00,Mobile
239,26,6,3,2023-12-07,19:30,Online
240,23,19,2,2023-04-30,16:00,Offline
241,10,2,2,2023-11-03,18:30,Offline
242,1,7,4,2023-09-22,20:30,Offline
243,8,9,1,2023-12-04,22:30,Online
244,13,16,3,2023-09-09,20:30,Online
245,22,8,1,2023-08-15,19:00,Online
246,9,17,1,2023-05-09,14:00,Online
247,7,16,4,2023-04-20,12:00,Mobile
248,11,13,4,2023-05-16,14:30,Offline
249,21,20,4,2023-09-03,13:00,Online
250,2,12,1,2023-10-16,21:00,Mobile
251,15,8,1,2023-04-18,16:30,Online
252,7,9,2,2023-08-29,17:00,Online
253,14,3,1,2023-06-19,14:30,Mobile
254,29,5,3,2023-03-11,11:30,Online
255,19,4,4,2023-05-30,14:30,Offline
256,18,4,4,2023-01-28,22:00,Mobile
257,30,4,3,2023-05-27,13:30,Mobile
258,8,5,1,2023-07-02,12:00,Offline
259,12,6,1,2023-09-28,13:00,Online
260,12,8,2,2023-04-15,16:00,Offline
261,27,2,4,2023-07-14,18:00,Mobile
262,10,12,3,2023-04-10,15:00,Mobile
263,26,13,3,2023-01-22,22:30,Online
264,26,10,4,2023-07-10,21:30,Offline
265,4,14,1,2023-05-29,12:30,Mobile
266,18,9,3,2023-01-31,10:30,Offline
267,6,18,4,2023-02-17,17:00,Mobile
268,12,7,2,2023-12-24,16:00,Online
269,2,20,2,2023-05-11,18:30,Offline
270,5,19,4,2023-03-24,22:00,Online
271,19,12,4,2023-08-01,20:30,Mobile
272,8,8,3,2023-10-11,11:30,Online
273,15,16,4,2023-05-26,12:30,Mobile
274,9,20,4,2023-01-23,18:00,Offline
275,19,4,1,2023-05-24,19:30,Mobile
276,20,11,3,2023-08-17,22:30,Offline
277,1,1,3,2023-04-04,20:30,Mobile
278,30,4,3,2023-06-09,20:00,Mobile
279,27,15,3,2023-11-06,17:00,Offline
280,7,13,1,2023-02-12,12:00,Offline
281,12,12,3,2023-05-28,11:00,Mobile
282,1,6,3,2023-03-27,17:00,Offline
283,5,12,3,2023-06-07,14:00,Offline
284,24,6,4,2023-03-28,15:30,Online
285,23,19,2,2023-12-16,13:30,Offline
286,2,19,2,2023-10-18,11:30,Offline
287,30,18,2,2023-11-24,10:30,Offline
288,23,5,1,2023-09-10,12:00,Offline
289,4,19,3,2023-09-08,12:30,Online
